CM,SITE,PROGRAM,AQID,MFR,EQUIPMENT_NAME,GH_SITE,PO_TYPE,STATION,GROUP,GROUP_PRIORITY,SCOPE,ALT_STATION,PARENT_ITEM,RFID_SCOPE,LINE,UPH,DEPT,CONSUMABLES,CARRY_OVER,SPARE_QTY,SPARE_RATE,MP_INTENT_QTY,QPL,LEVEL,RELEASE_QTY,CATEGORY,DISPLAY_NAME,EQUIPMENT_TYPE,ErrorMsg
HHGL,PBPH,D11,01426-01,Foxlink,"ADAPTER,USB,5W,A61",iPhone_FXGL,Reimburse,D11 FAE OFFLINE TFB,0,,Per Site,0,,Y,MLB FAE Offline ,0,,N,6,0,0,10,10,1,0,Cable/Adapter,,Buy,
HHGL,PBPH,D11,01426-01,Foxlink,"ADAPTER,USB,5W,A61",iPhone_FXGL,Reimburse,D11 FAS OFFLINE CRB AP,0,,Per Station,0,,Y,MLB FAS Offline ,0,,N,6,0,0,1,10,1,0,Cable/Adapter,,Buy,
HHGL,PBPH,D11,01426-01,Foxlink,"ADAPTER,USB,5W,A61",iPhone_FXGL,Reimburse,D11 FAS OFFLINE CRB RF,0,,Per Station,0,,N,MLB FAS Offline ,0,,N,999,0,0,1,5,1,0,Cable/Adapter,,Buy,
HHGL,PBPH,D17,00031-01,Foxlink,"SP,ACC,MDP TO VGA,FOXLINK",iPhone_FXGL,,D17 SA-FLEX3,12,,Per Station,3,,N,CSA Cyclone flex-UIC 2683,1298,,N,999,0,0,1,4,1,0,Station Peripheral,Cyclone-LBF HB,Buy,
HHGL,PBPH,D17,00031-01,Foxlink,"SP,ACC,MDP TO VGA,FOXLINK",iPhone_FXGL,,D17 SA-FLEX2,0,,Per Station,0,,N,CSA Ringer Switch-Auto 2683,1176,,N,999,0,0,1,0,1,0,Station Peripheral,Button-Ringer Flex,Buy,
HHGL,PBPH,D17,00031-01,Foxlink,"SP,ACC,MDP TO VGA,FOXLINK",iPhone_FXGL,,D17 SA-FLEX2,0,,Per Station,0,,N,CSA Ringer Switch-Manual 2683,1200,,N,999,0,0,1,0,1,0,Station Peripheral,Button-Ringer Flex,Buy,
HHGL,PBPH,D17,00031-01,Foxlink,"SP,ACC,MDP TO VGA,FOXLINK",iPhone_FXGL,,D17 AXI-DOOSRA,1,,Per Station,1,,N,FATP Burn-in 2683,395,,N,999,0,0,1,1,1,0,Station Peripheral,AXI,Buy,
HHGL,PBPH,D17,00031-01,Foxlink,"SP,ACC,MDP TO VGA,FOXLINK",iPhone_FXGL,,D17 AXI-GOOGLY,1,,Per Station,2,,N,FATP Burn-in 2683,395,,N,999,0,0,1,1,1,0,Station Peripheral,AXI,Buy,
HHGL,PBPH,D17,36620-01,Foxlink,"CABLE,B291,USB-C LIGHTNING,1M,FOXLINK",iPhone_FXGL,,D17 BURNIN,0,2-4,Per Station,0,,N,FATP Burn-in 2683,395,,Y,999,0,0,252,3780,1,0,Cable/Adapter,Burnin,Buy,
HHGL,PBPH,D17,00031-01,Foxlink,"SP,ACC,MDP TO VGA,FOXLINK",iPhone_FXGL,,D17 LOG-COLLECTION,0,,Per Station,0,,N,FATP Burn-in 2683,395,,N,999,0,0,6,12,1,0,Station Peripheral,Log-Collection,Buy,
HHGL,PBPH,D17,00031-01,Foxlink,"SP,ACC,MDP TO VGA,FOXLINK",iPhone_FXGL,,D17 RGBW,0,,Per Station,0,,N,FATP Burn-in 2683,395,,N,999,0,0,1,4,1,0,Station Peripheral,RGBW,Buy,
HHGL,PBPH,D17,00031-01,Foxlink,"SP,ACC,MDP TO VGA,FOXLINK",iPhone_FXGL,,D17 AXI-DOOSRA,1,,Per Station,1,,N,FATP Burn-in 2683,790,,N,999,0,0,1,1,1,0,Station Peripheral,AXI,Buy,
